a,b,af,bf,as,bs,afs,bfs,pressure,alpha_endo,alpha_epi,Vol,Apex_Twist,C11,L11,R11
6.890625,8.134375,8.134375,1.915625,0.671875,6.890625,5.646875,4.403125,21.875,-39.375,16.875,93.4101978390438,6.10756512390984,-0.121236530518592,-0.0585645288353666,0.239626792268596
4.403125,5.646875,0.671875,4.403125,8.134375,9.378125,3.159375,1.915625,28.375,-61.875,39.375,118.809100643881,1.34644590990374,-0.199679067391502,-0.0644131064429898,0.444346412076453
9.378125,0.671875,5.646875,9.378125,3.159375,4.403125,8.134375,6.890625,15.375,-16.875,84.375,88.7956279466253,-4.18291353410159,-0.108284058580097,-0.0427487218265902,0.195686831884694
0.3609375,5.3359375,4.0921875,2.2265625,4.7140625,2.8484375,9.6890625,2.8484375,6.4375,-14.0625,42.1875,112.052726326121,-15.2600541319996,-0.134416624507756,-0.174384325567961,0.540084192936164
5.3359375,0.3609375,9.0671875,7.2015625,9.6890625,7.8234375,4.7140625,7.8234375,19.4375,-59.0625,87.1875,101.54394317623,1.57970159344384,-0.147368459764257,-0.0784397501628528,0.331755974567763
2.8484375,2.8484375,1.6046875,9.6890625,2.2265625,5.3359375,7.2015625,5.3359375,25.9375,-36.5625,64.6875,127.014389088897,5.21248518686713,-0.187045930807298,-0.148423884978837,0.607218199534295
7.8234375,7.8234375,6.5796875,4.7140625,7.2015625,0.3609375,2.2265625,0.3609375,12.9375,-81.5625,19.6875,86.3344905075035,4.1267710594327,-0.105395463714035,-0.0262583238724317,0.164301793917298
1.6046875,1.6046875,5.3359375,8.4453125,8.4453125,4.0921875,5.9578125,1.6046875,29.1875,-47.8125,75.9375,126.456388502731,5.45873146684637,-0.182226579474603,-0.162959964247398,0.616810018732386
6.5796875,6.5796875,0.3609375,3.4703125,3.4703125,9.0671875,0.9828125,6.5796875,16.1875,-2.8125,30.9375,97.4868483077905,-0.553303014030425,-0.147606564485165,-0.0325938988326547,0.254658878036411
4.0921875,9.0671875,7.8234375,0.9828125,5.9578125,6.5796875,8.4453125,9.0671875,9.6875,-70.3125,8.4375,88.4975025001253,9.04254608096535,-0.110341612805013,-0.0376025188785887,0.185618655235416
9.0671875,4.0921875,2.8484375,5.9578125,0.9828125,1.6046875,3.4703125,4.0921875,22.6875,-25.3125,53.4375,98.3187630168388,-1.08199815018546,-0.142453044809519,-0.053761369103037,0.2783377502517
0.9828125,4.7140625,8.4453125,4.0921875,2.8484375,3.4703125,5.3359375,8.4453125,24.3125,-53.4375,36.5625,127.913513877453,15.3783392393944,-0.179997598614919,-0.167757190597809,0.640613150786034
5.9578125,9.6890625,3.4703125,9.0671875,7.8234375,8.4453125,0.3609375,3.4703125,11.3125,-8.4375,81.5625,86.3910271323428,-3.85910829073603,-0.102242701782084,-0.0299561774078178,0.166903626127105
3.4703125,7.2015625,5.9578125,6.5796875,0.3609375,5.9578125,7.8234375,0.9828125,4.8125,-75.9375,59.0625,79.9025506476549,0.883177279129339,-0.0761023549544757,-0.0217049045345508,0.114702958719719
8.4453125,2.2265625,0.9828125,1.6046875,5.3359375,0.9828125,2.8484375,5.9578125,17.8125,-30.9375,14.0625,104.404843794876,1.43787099650805,-0.166497146364052,-0.0477685783742205,0.32078493798027
2.2265625,8.4453125,2.2265625,5.3359375,9.0671875,4.7140625,9.0671875,7.2015625,8.0625,-19.6875,70.3125,94.4885189832037,-4.39347173835918,-0.126589576267555,-0.0563336585115052,0.251347555456568
7.2015625,3.4703125,7.2015625,0.3609375,4.0921875,9.6890625,4.0921875,2.2265625,21.0625,-64.6875,25.3125,102.235419449956,7.06796394060489,-0.154293107675357,-0.062498158193445,0.315334241958054
4.7140625,0.9828125,4.7140625,2.8484375,6.5796875,7.2015625,6.5796875,4.7140625,27.5625,-42.1875,2.8125,159.029699260539,30.9593083152444,-0.24278821031684,-0.188201420927951,0.917681378841481
9.6890625,5.9578125,9.6890625,7.8234375,1.6046875,2.2265625,1.6046875,9.6890625,14.5625,-87.1875,47.8125,84.4817757952756,1.67077310460935,-0.0977744202421895,-0.0249745611451665,0.151421930862047
0.20546875,7.97890625,9.53359375,6.73515625,7.97890625,9.22265625,7.35703125,8.91171875,18.21875,-15.46875,26.71875,118.163218227787,-0.389006051000122,-0.126818478759031,-0.2077427912026,0.630643842554822
5.18046875,3.00390625,4.55859375,1.76015625,3.00390625,4.24765625,2.38203125,3.93671875,5.21875,-60.46875,71.71875,79.1970461684911,0.0418460524157106,-0.0740861650871629,-0.0169254535415493,0.106123005421886
2.69296875,0.51640625,7.04609375,4.24765625,5.49140625,1.76015625,9.84453125,1.44921875,11.71875,-37.96875,49.21875,102.479951383558,0.189178320932138,-0.128300341381835,-0.132068718897632,0.406100272604749
7.66796875,5.49140625,2.07109375,9.22265625,0.51640625,6.73515625,4.86953125,6.42421875,24.71875,-82.96875,4.21875,104.362481953043,3.74595968829962,-0.167176889124737,-0.0431258703786235,0.313300753664153
1.44921875,4.24765625,0.82734375,3.00390625,4.24765625,7.97890625,8.60078125,5.18046875,14.96875,-49.21875,82.96875,134.634840954327,1.42019413260863,-0.221037468584162,-0.105338309596194,0.609061557159542
6.42421875,9.22265625,5.80234375,7.97890625,9.22265625,3.00390625,3.62578125,0.20546875,27.96875,-4.21875,37.96875,96.1924696983626,-5.86429649420081,-0.126149597887509,-0.0692536130912778,0.272787559136955
3.93671875,6.73515625,3.31484375,5.49140625,1.76015625,0.51640625,6.11328125,2.69296875,21.46875,-71.71875,15.46875,108.55384800202,6.98158085400375,-0.172609869229196,-0.0619031579158328,0.358471620669383
8.91171875,1.76015625,8.28984375,0.51640625,6.73515625,5.49140625,1.13828125,7.66796875,8.46875,-26.71875,60.46875,77.7356201928361,-1.89670622583162,-0.0617655426260964,-0.0235521228513626,0.0978621561465054
0.82734375,2.38203125,2.69296875,9.84453125,9.84453125,9.84453125,7.97890625,4.55859375,13.34375,-54.84375,32.34375,131.741069337476,19.8522026864697,-0.184003232841922,-0.18334951708991,0.702273865344298
5.80234375,7.35703125,7.66796875,4.86953125,4.86953125,4.86953125,3.00390625,9.53359375,26.34375,-9.84375,77.34375,98.9085427825146,-8.65306355636155,-0.137457938811487,-0.0672158371916179,0.292793360213859
3.31484375,9.84453125,0.20546875,2.38203125,7.35703125,2.38203125,5.49140625,7.04609375,19.84375,-77.34375,54.84375,105.494894643128,0.152486347123904,-0.170396230242428,-0.0407594100724846,0.319179250332792
8.28984375,4.86953125,5.18046875,7.35703125,2.38203125,7.35703125,0.51640625,2.07109375,6.84375,-32.34375,9.84375,76.9683319532683,2.56987085778578,-0.0591891842902666,-0.0205693325344784,0.0894708835773662
2.07109375,6.11328125,6.42421875,1.13828125,3.62578125,8.60078125,6.73515625,0.82734375,23.09375,-21.09375,88.59375,116.453278031324,-10.1862255949411,-0.180702501801775,-0.0986120697593937,0.467878124686743
7.04609375,1.13828125,1.44921875,6.11328125,8.60078125,3.62578125,1.76015625,5.80234375,10.09375,-66.09375,43.59375,93.0634759147304,1.16699826361696,-0.133214413038162,-0.0309737651594594,0.222350571221406
4.55859375,3.62578125,8.91171875,8.60078125,1.13828125,1.13828125,9.22265625,8.28984375,16.59375,-43.59375,21.09375,97.3390373557113,11.0991632806359,-0.122667728694269,-0.0961086530945263,0.305709575054169
9.53359375,8.60078125,3.93671875,3.62578125,6.11328125,6.11328125,4.24765625,3.31484375,29.59375,-88.59375,66.09375,97.0430979958297,0.48458052456878,-0.145620579432101,-0.0330037922407359,0.250679069244428
0.51640625,2.69296875,6.11328125,5.80234375,7.04609375,6.42421875,2.69296875,6.73515625,19.03125,-85.78125,18.28125,157.129158188327,31.851479873698,-0.235685720908966,-0.178084812570306,0.857595215323453
5.49140625,7.66796875,1.13828125,0.82734375,2.07109375,1.44921875,7.66796875,1.76015625,6.03125,-40.78125,63.28125,82.3125291359889,-0.329172286528314,-0.0898338530476423,-0.0159506097196154,0.127377016573727
3.00390625,5.18046875,8.60078125,3.31484375,9.53359375,3.93671875,0.20546875,4.24765625,12.53125,-63.28125,85.78125,95.6181106269463,0.741618950808287,-0.133128872813865,-0.0557641623251599,0.261993544647908
7.97890625,0.20546875,3.62578125,8.28984375,4.55859375,8.91171875,5.18046875,9.22265625,25.53125,-18.28125,40.78125,114.077794107401,-0.914711551118634,-0.158725504916517,-0.141842361526581,0.502670425358175
1.76015625,8.91171875,4.86953125,4.55859375,0.82734375,5.18046875,1.44921875,7.97890625,15.78125,-29.53125,52.03125,103.19870357668,-2.18760568808668,-0.138954665007591,-0.0976244116241666,0.353544700458586
6.73515625,3.93671875,9.84453125,9.53359375,5.80234375,0.20546875,6.42421875,3.00390625,28.78125,-74.53125,7.03125,109.429441212987,15.1111834118939,-0.171491134852162,-0.0781812311841737,0.377721271900893
4.24765625,1.44921875,2.38203125,7.04609375,3.31484375,2.69296875,3.93671875,0.51640625,22.28125,-7.03125,29.53125,125.231904389986,-5.0866298842305,-0.172734206216057,-0.169341126614382,0.627420228530739
9.22265625,6.42421875,7.35703125,2.07109375,8.28984375,7.66796875,8.91171875,5.49140625,9.28125,-52.03125,74.53125,78.6920023174499,-0.300850404825237,-0.0710698693245233,-0.0163964850973104,0.101243093675146
1.13828125,7.04609375,1.76015625,7.66796875,5.18046875,7.04609375,2.07109375,2.38203125,10.90625,-23.90625,12.65625,110.524758655405,9.85695953939366,-0.156165766531087,-0.113049711699546,0.419180697543178
6.11328125,2.07109375,6.73515625,2.69296875,0.20546875,2.07109375,7.04609375,7.35703125,23.90625,-68.90625,57.65625,113.713798620873,3.34969047577989,-0.181189116355971,-0.0865745078475592,0.436295237916363
3.62578125,4.55859375,4.24765625,0.20546875,7.66796875,4.55859375,4.55859375,9.84453125,17.40625,-1.40625,80.15625,111.139365879728,-10.8815252030437,-0.178530710086255,-0.0688812916379512,0.39857019024462
8.60078125,9.53359375,9.22265625,5.18046875,2.69296875,9.53359375,9.53359375,4.86953125,4.40625,-46.40625,35.15625,72.0576056963122,0.690704980761169,-0.032645769587532,-0.0120318345290531,0.0474248744558809
2.38203125,0.82734375,7.97890625,1.44921875,1.44921875,5.80234375,3.31484375,3.62578125,20.65625,-80.15625,46.40625,146.935052306115,12.960710023287,-0.229886900667312,-0.161591112356969,0.8213550436993
7.35703125,5.80234375,3.00390625,6.42421875,6.42421875,0.82734375,8.28984375,8.60078125,7.65625,-35.15625,1.40625,80.7284464622704,2.84397314736969,-0.0795829726140548,-0.0211757904847142,0.117835929865005
4.86953125,8.28984375,5.49140625,8.91171875,3.93671875,3.31484375,0.82734375,6.11328125,14.15625,-57.65625,23.90625,92.1734053660228,6.32159637474657,-0.119950068755306,-0.0507937418933944,0.225033405643669
9.84453125,3.31484375,0.51640625,3.93671875,8.91171875,8.28984375,5.80234375,1.13828125,27.15625,-12.65625,68.90625,109.219737690905,-0.767186186817071,-0.18028996593766,-0.0493737521970371,0.360541504914066
0.127734375,6.657421875,5.258203125,3.858984375,9.766796875,1.993359375,8.523046875,3.392578125,22.078125,-41.484375,79.453125,135.585201365632,-0.3725830840425,-0.19390841016408,-0.17651893745702,0.730548261913014
5.102734375,1.682421875,0.283203125,8.833984375,4.791796875,6.968359375,3.548046875,8.367578125,9.078125,-86.484375,34.453125,102.540715442048,0.695364242014163,-0.165046089295177,-0.0362331772640112,0.298722860987774
2.615234375,4.169921875,7.745703125,6.346484375,7.279296875,9.455859375,6.035546875,5.880078125,15.578125,-18.984375,11.953125,103.539183018184,10.0315221659403,-0.122724374930379,-0.137641538944773,0.395240968711607
